央视,#genre#
CCTV1,http://115.171.216.195:4000/udp/225.1.8.101:8080
CCTV1,http://115.171.216.195:4000/udp/225.1.8.1:8008
CCTV2,http://115.171.216.195:4000/udp/225.1.8.102:8004
CCTV2,http://115.171.216.195:4000/udp/225.1.8.2:8084
CCTV3,http://115.171.216.195:4000/udp/225.1.8.88:8000
CCTV3,http://115.171.216.195:4000/udp/225.1.8.92:8000
CCTV4,http://1.203.184.43:4022/udp/225.1.8.4:8092
CCTV4,http://1.203.184.43:4022/udp/225.1.8.104:8216
CCTV4,http://115.171.216.195:4000/udp/225.1.8.4:8092
CCTV4,http://115.171.216.195:4000/udp/225.1.8.104:8216
CCTV5,http://1.203.184.43:4022/udp/225.1.8.93:8000
CCTV5,http://1.203.184.43:4022/udp/225.1.8.20:8004
CCTV5,http://115.171.216.195:4000/udp/225.1.8.89:8000
CCTV5,http://115.171.216.195:4000/udp/225.1.8.93:8000
CCTV5,http://115.171.216.195:4000/udp/225.1.8.20:8004
CCTV6,http://1.203.184.43:4022/udp/225.1.8.90:8000
CCTV6,http://115.171.216.195:4000/udp/225.1.8.90:8000
CCTV6,http://115.171.216.195:4000/udp/225.1.8.84:8000
CCTV7,http://115.171.216.195:4000/udp/225.1.8.7:8104
CCTV7,http://115.171.216.195:4000/udp/225.1.8.107:8024
CCTV7,http://1.203.184.43:4022/udp/225.1.8.7:8104
CCTV8,http://115.171.216.195:4000/udp/225.1.8.91:8000
CCTV8,http://115.171.216.195:4000/udp/225.1.8.85:8000
CCTV9,http://115.171.216.195:4000/udp/225.1.8.109:8032
CCTV9,http://115.171.216.195:4000/udp/225.1.8.9:8112
CCTV10,http://115.171.216.195:4000/udp/225.1.8.110:8228
CCTV10,http://115.171.216.195:4000/udp/225.1.8.10:8116
CCTV11,http://115.171.216.195:4000/udp/225.1.8.111:8040
CCTV11,http://115.171.216.195:4000/udp/225.1.8.73:8120
CCTV12,http://1.203.184.43:4022/udp/225.1.8.12:8124
CCTV12,http://115.171.216.195:4000/udp/225.1.8.112:8232
CCTV12,http://115.171.216.195:4000/udp/225.1.8.12:8124
CCTV13,http://115.171.216.195:4000/udp/225.1.8.168:8130
CCTV13,http://115.171.216.195:4000/udp/225.1.1.10:8128
CCTV13,http://115.171.216.195:4000/udp/225.1.8.113:8264
CCTV13,http://1.203.184.43:4022/udp/225.1.1.10:8128
CCTV13,http://1.203.184.43:4022/udp/225.1.8.113:8264
CCTV14,http://115.171.216.195:4000/udp/225.1.8.14:8132
CCTV14,http://1.203.184.43:4022/udp/225.1.8.14:8132
CCTV14,http://1.203.184.43:4022/udp/225.1.8.114:8236
CCTV14,http://115.171.216.195:4000/udp/225.1.8.114:8236
CCTV15,http://115.171.216.195:4000/udp/225.1.8.74:8136
CCTV15,http://115.171.216.195:4000/udp/225.1.8.115:8052
CCTV17,http://1.203.184.43:4022/udp/225.1.8.17:8144
CCTV17,http://1.203.184.43:4022/udp/225.1.8.117:8064
CCTV17,http://115.171.216.195:4000/udp/225.1.8.117:8064
CCTV17,http://115.171.216.195:4000/udp/225.1.8.17:8144
CCTV1,http://110.7.130.173:8096/tsfile/live/0001_1.m3u8
CCTV3,http://110.7.130.173:8096/tsfile/live/0003_1.m3u8
CCTV4,http://110.7.130.173:8096/tsfile/live/0004_1.m3u8
CCTV5,http://110.7.130.173:8096/tsfile/live/0005_1.m3u8
CCTV6,http://110.7.130.173:8096/tsfile/live/0006_1.m3u8
CCTV9,http://110.7.130.173:8096/tsfile/live/0009_1.m3u8
CETV1,http://115.171.216.195:4000/udp/225.1.8.32:8152
CETV1,http://1.203.184.43:4022/udp/225.1.8.169:4120
CETV1,http://115.171.216.195:4000/udp/225.1.8.169:4120
CETV2,http://115.171.216.195:4000/udp/225.1.8.193:4120
CETV3,http://115.171.216.195:4000/udp/225.1.8.194:4120
CETV3,http://1.203.184.43:4022/udp/225.1.8.194:4120
CETV4,http://115.171.216.195:4000/udp/225.1.8.195:4120
卫视,#genre#
黑龙江卫视,http://113.101.119.31:8090/hls/17/index.m3u8
河南卫视,http://113.101.119.31:8090/hls/143/index.m3u8
湖北卫视,http://110.7.130.173:8096/tsfile/live/0132_1.m3u8
贵州卫视,http://110.7.130.173:8096/tsfile/live/0120_1.m3u8
辽宁卫视,http://110.7.130.173:8096/tsfile/live/0121_1.m3u8
安徽卫视,http://110.7.130.173:8096/tsfile/live/0130_1.m3u8
北京卫视,http://110.7.130.173:8096/tsfile/live/0122_1.m3u8
三沙卫视,http://1.203.184.43:4022/udp/225.1.8.78:4120
三沙卫视,http://115.171.216.195:4000/udp/225.1.8.78:4120
东南卫视,http://1.203.184.43:4022/udp/225.1.8.79:8148
东南卫视,http://1.203.184.43:4022/udp/225.1.8.149:8112
东南卫视,http://115.171.216.195:4000/udp/225.1.8.149:8112
东南卫视,http://115.171.216.195:4000/udp/225.1.8.79:8148
东方卫视,http://115.171.216.195:4000/udp/225.1.8.45:8032
东方卫视,http://115.171.216.195:4000/udp/225.1.8.147:8192
云南卫视,http://115.171.216.195:4000/udp/225.1.8.139:8108
兵团卫视,http://115.171.216.195:4000/udp/225.1.8.167:4120
内蒙古卫视,http://115.171.216.195:4000/udp/225.1.8.156:8176
北京卫视,http://115.171.216.195:4000/udp/225.1.8.121:8002
北京卫视,http://115.171.216.195:4000/udp/225.1.8.21:8002
南方卫视,http://115.171.216.195:4000/udp/225.1.8.225:5008
厦门卫视,http://1.203.184.43:4022/udp/225.1.8.166:4120
厦门卫视,http://115.171.216.195:4000/udp/225.1.8.166:4120
吉林卫视,http://1.203.184.43:4022/udp/225.1.8.153:8200
吉林卫视,http://115.171.216.195:4000/udp/225.1.8.153:8200
四川卫视,http://115.171.216.195:4000/udp/225.1.8.142:8288
天津卫视,http://1.203.184.43:4022/udp/225.1.8.48:8044
天津卫视,http://1.203.184.43:4022/udp/225.1.8.136:8144
天津卫视,http://115.171.216.195:4000/udp/225.1.8.136:8144
天津卫视,http://115.171.216.195:4000/udp/225.1.8.48:8044
宁夏卫视,http://115.171.216.195:4000/udp/225.1.8.159:8124
安徽卫视,http://115.171.216.195:4000/udp/225.1.8.52:8064
安徽卫视,http://115.171.216.195:4000/udp/225.1.8.135:8272
山东卫视,http://1.203.184.43:4022/udp/225.1.8.50:8052
山东卫视,http://115.171.216.195:4000/udp/225.1.8.50:8052
山东卫视,http://115.171.216.195:4000/udp/225.1.8.138:8148
山东教育卫视,http://115.171.216.195:4000/udp/225.1.8.190:4120
山西卫视,http://115.171.216.195:4000/udp/225.1.8.155:8172
广东卫视,http://115.171.216.195:4000/udp/225.1.8.49:8048
广东卫视,http://115.171.216.195:4000/udp/225.1.8.151:8132
广西卫视,http://115.171.216.195:4000/udp/225.1.8.152:8300
新疆卫视,http://115.171.216.195:4000/udp/225.1.8.161:8160
江苏卫视,http://115.171.216.195:4000/udp/225.1.8.44:8028
江苏卫视,http://115.171.216.195:4000/udp/225.1.8.134:8276
江西卫视,http://115.171.216.195:4000/udp/225.1.8.143:8280
江西卫视,http://115.171.216.195:4000/udp/225.1.8.171:8166
江西卫视,http://115.171.216.195:4000/udp/225.1.1.9:8164
河北卫视,http://115.171.216.195:4000/udp/225.1.8.150:8292
河北卫视,http://115.171.216.195:4000/udp/225.1.8.76:8002
河南卫视,http://115.171.216.195:4000/udp/225.1.8.140:8128
浙江卫视,http://115.171.216.195:4000/udp/225.1.8.133:8284
浙江卫视,http://115.171.216.195:4000/udp/225.1.8.46:8036
海南卫视,http://115.171.216.195:4000/udp/225.1.8.158:8304
深圳卫视,http://115.171.216.195:4000/udp/225.1.8.43:8020
深圳卫视,http://115.171.216.195:4000/udp/225.1.8.145:9244
湖北卫视,http://115.171.216.195:4000/udp/225.1.8.146:8136
湖北卫视,http://115.171.216.195:4000/udp/225.1.8.47:8044
湖南卫视,http://1.203.184.43:4022/udp/225.1.8.41:8012
湖南卫视,http://1.203.184.43:4022/udp/225.1.8.132:8064
湖南卫视,http://115.171.216.195:4000/udp/225.1.8.41:8012
湖南卫视,http://115.171.216.195:4000/udp/225.1.8.132:8064
甘肃卫视,http://1.203.184.43:4022/udp/225.1.8.162:8188
甘肃卫视,http://115.171.216.195:4000/udp/225.1.8.162:8188
西藏卫视,http://1.203.184.43:4022/udp/225.1.8.160:8164
西藏卫视,http://115.171.216.195:4000/udp/225.1.8.160:8164
贵州卫视,http://1.203.184.43:4022/udp/225.1.8.144:8120
贵州卫视,http://115.171.216.195:4000/udp/225.1.8.144:8120
贵州卫视,http://115.171.216.195:4000/udp/225.1.8.77:8076
辽宁卫视,http://1.203.184.43:4022/udp/225.1.8.137:8116
辽宁卫视,http://115.171.216.195:4000/udp/225.1.8.51:8056
辽宁卫视,http://115.171.216.195:4000/udp/225.1.8.137:8116
重庆卫视,http://1.203.184.43:4022/udp/225.1.8.172:8162
重庆卫视,http://115.171.216.195:4000/udp/225.1.8.172:8162
重庆卫视,http://115.171.216.195:4000/udp/225.1.8.148:8296
陕西卫视,http://115.171.216.195:4000/udp/225.1.8.154:8140
青海卫视,http://115.171.216.195:4000/udp/225.1.8.157:8184
